frame_idx,yolo_detected,yolo_conf,raw_cx,raw_cy,raw_w,raw_h,kalman_active,track_id,kalman_status,lost_count,kalman_cx,kalman_cy,kalman_w,kalman_h,vx,vy,vw,vh
0,True,0.9312919974327087,3456.89208984375,1408.9053039550781,299.8779296875,815.9613647460938,True,1,new_track,0,3456.89208984375,1408.9053039550781,299.8779296875,815.9613647460938,0.0,0.0,0.0,0.0
1,False,,,,,,True,1,predict_only,1,3456.89208984375,1408.9053039550781,299.8779296875,815.9613647460938,0.0,0.0,0.0,0.0
2,True,0.9415762424468994,3412.166259765625,1412.8537902832031,343.88037109375,810.9413452148438,True,1,update,0,3412.1841427656263,1412.8522115359583,343.86277719873027,810.9433524147582,-17.883357661249512,1.578778819824497,17.59398298922965,-2.007209950533973
3,True,0.93143230676651,3388.6480712890625,1416.2242126464844,360.074951171875,809.2066040039062,True,1,update,0,3388.7029681403396,1416.2067976029114,360.08837176498895,809.203977190624,-23.404486785767485,3.330258222355864,16.244367509654328,-1.743049653173384
4,True,0.9373772740364075,3363.3974609375,1416.8201293945312,381.478515625,807.5140380859375,True,1,update,0,3363.720075930415,1417.2812087145278,380.60466965122885,807.5050189533907,-24.34911174534301,1.980206167809092,18.79799813631605,-1.7166931397960636
5,False,,,,,,True,1,predict_only,1,3339.370964185072,1419.2614148823368,399.4026677875449,805.7883258135947,-24.34911174534301,1.980206167809092,18.79799813631605,-1.7166931397960636
6,True,0.9466435313224792,3344.4617919921875,1420.6874084472656,403.962646484375,799.0431518554688,True,1,update,0,3339.427889225021,1420.7821726484715,406.4141051585574,799.9089403151943,-16.69951539743572,1.8362010248840528,15.134254576480973,-3.010627615178113
7,True,0.9402356147766113,3343.081787109375,1422.6607055664062,402.05810546875,794.6329345703125,True,1,update,0,3334.8671094126216,1422.6436203309772,409.9804934748596,795.5537642464604,-13.484782358306939,1.8428871631408072,12.158370280481451,-3.3565185978497163
8,True,0.9415026903152466,3340.0201416015625,1424.9898681640625,404.712646484375,792.231689453125,True,1,update,0,3330.651965303665,1424.7368571961986,413.595767796233,792.2141315121684,-11.258548228007909,1.9030121687008568,10.238363472655323,-3.352723606766657
9,True,0.9412621259689331,3339.7276611328125,1428.434326171875,402.533935546875,789.648193359375,True,1,update,0,3328.399757171883,1427.434661059451,414.69076081557205,789.1991452185629,-9.21098108780096,2.083705917736048,8.386633279311516,-3.2843244990861433
10,True,0.9468318223953247,3345.67333984375,1428.2947387695312,385.5234375,787.3572998046875,True,1,update,0,3330.0474164613256,1429.0166808334031,408.50759562293536,786.4744589434391,-6.807690893257158,1.9726701574376417,5.666826972599097,-3.1798544493499885
11,True,0.9405827522277832,3332.4403076171875,1426.7877807617188,387.177001953125,787.3016357421875,True,1,update,0,3326.8238078428644,1429.3526313459192,404.5105800592998,784.7289385192651,-6.021984093704832,1.613866520864021,3.972420994260651,-2.9283660648818346
12,True,0.943749189376831,3318.9375,1424.6754760742188,382.89404296875,792.8848876953125,True,1,update,0,3320.099037974835,1428.594999556056,399.9017973468087,785.5176744448987,-6.176004707160486,1.094135419337027,2.5360228975992065,-2.3061645175543855
13,True,0.9167829751968384,3298.98486328125,1419.9577026367188,390.4775390625,791.6402587890625,True,1,update,0,3308.4039704776496,1426.093755744682,398.6335207692381,785.8925075045148,-7.389779559092294,0.3034249202134085,1.9195412836487866,-1.8717124655645914
14,True,0.9313385486602783,3269.4556884765625,1416.2645263671875,364.189697265625,792.15576171875,True,1,update,0,3289.489720238146,1422.6969582736936,389.4666472970441,786.5009729643114,-9.934723037943108,-0.5136934625678732,0.1602411122572862,-1.4781336986445055
15,True,0.9367374777793884,3232.0484619140625,1416.4664001464844,334.599365234375,800.8015747070312,True,1,update,0,3262.317120479909,1420.1088847764183,373.40017771189537,789.6757285909599,-13.753895548543696,-0.9732869109747749,-2.3839528851474223,-0.7486048796034909
16,True,0.9127551913261414,3192.719482421875,1409.779296875,295.81689453125,792.42529296875,True,1,update,0,3228.3675793996726,1415.7519324841574,349.401094108224,789.932629817288,-18.237809323520697,-1.724541125119735,-5.754013375804913,-0.5918343078756669
17,True,0.9233052730560303,3152.860595703125,1409.8182983398438,249.62744140625,801.7010498046875,True,1,update,0,3189.4537552882252,1412.5077733365783,317.13235307072983,792.8265435809562,-22.83334195908091,-2.0622974232954707,-9.882232856001842,-0.04911958436002173
18,True,0.9184808731079102,3133.2579345703125,1414.6646423339844,254.562255859375,810.7405395507812,True,1,update,0,3154.5862498230044,1411.9673693832906,292.59420687066694,797.7741318376258,-25.509139490406277,-1.7239042489041627,-12.166515879737084,0.7296715170798397
19,True,0.9270222783088684,3112.108154296875,1419.0921936035156,268.12451171875,814.1127319335938,True,1,update,0,3122.959479917924,1413.4335995362894,277.0379209317103,802.8043729540493,-26.86940428975982,-1.014572818599654,-12.696018467344123,1.4014465021833722
20,False,,,,,,True,1,predict_only,1,3096.090075628164,1412.4190267176898,264.34190246436617,804.2058194562327,-26.86940428975982,-1.014572818599654,-12.696018467344123,1.4014465021833722
21,True,0.9508879780769348,3039.8045654296875,1421.0905151367188,375.709716796875,807.7349853515625,True,1,update,0,3055.5639612224913,1415.9013009969951,293.7054719654541,806.3285962524152,-29.711870232591355,-0.07861279474137572,-6.338652725768762,1.5104765883285964
22,True,0.9341967701911926,3020.180419921875,1424.2206420898438,413.82861328125,806.1263427734375,True,1,update,0,3023.5114217340956,1419.288480248475,327.08600170809035,807.3011377388576,-30.192544057104147,0.6331133552442062,-0.41728950538410103,1.4302808509214449
23,True,0.9236581325531006,3002.180419921875,1426.5780029296875,449.5810546875,805.959228515625,True,1,update,0,2996.727628019672,1422.4821002225322,363.2314456466414,807.9067752326666,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
24,False,,,,,,True,1,predict_only,1,2967.245003499843,1423.6484745946534,368.2669535574065,809.2140725770677,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
25,False,,,,,,True,1,predict_only,2,2937.7623789800136,1424.8148489667747,373.3024614681716,810.5213699214687,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
26,False,,,,,,True,1,predict_only,3,2908.2797544601844,1425.981223338896,378.3379693789367,811.8286672658697,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
27,False,,,,,,True,1,predict_only,4,2878.7971299403553,1427.1475977110172,383.3734772897018,813.1359646102708,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
28,False,,,,,,True,1,predict_only,5,2849.314505420526,1428.3139720831384,388.4089852004669,814.4432619546718,-29.482624519829013,1.1663743721212412,5.035507910765105,1.3072973444009994
29,True,0.9162396192550659,2904.487548828125,1414.6440124511719,219.74072265625,834.8941040039062,True,1,update,0,2885.6814865613287,1417.9398699870317,288.11694079895113,827.3584979238904,-20.075935061793757,-0.4821955357056342,-7.13559878217778,2.6486506407247212
30,True,0.9158135652542114,2885.2528076171875,1413.5158996582031,217.954833984375,838.0292358398438,True,1,update,0,2875.654827896756,1415.4415158511385,253.67553517650703,833.4826634302102,-18.534973625140065,-0.7913543776224254,-10.301132414682463,3.0515634446447906
31,False,,,,,,True,1,predict_only,1,2857.119854271616,1414.6501614735162,243.37440276182457,836.534226874855,-18.534973625140065,-0.7913543776224254,-10.301132414682463,3.0515634446447906
32,True,0.9167068004608154,2851.843505859375,1414.5008544921875,231.56298828125,842.435302734375,True,1,update,0,2845.2719435896784,1414.1826273474353,232.4504526432494,840.76088656114,-17.338199840002797,-0.7334007451483423,-10.377388025009994,3.195438097757242
33,False,,,,,,True,1,predict_only,1,2827.9337437496756,1413.449226602287,222.0730646182394,843.9563246588972,-17.338199840002797,-0.7334007451483423,-10.377388025009994,3.195438097757242
