frame_idx,yolo_detected,yolo_conf,raw_cx,raw_cy,raw_w,raw_h,kalman_active,track_id,kalman_status,lost_count,kalman_cx,kalman_cy,kalman_w,kalman_h,vx,vy,vw,vh
0,False,,,,,,False,,inactive_waiting,,,,,,,,,
1,False,,,,,,False,,inactive_waiting,,,,,,,,,
2,False,,,,,,False,,inactive_waiting,,,,,,,,,
3,True,0.9417945146560669,901.20068359375,1353.5819091796875,188.794677734375,470.054443359375,True,1,new_track,0,901.20068359375,1353.5819091796875,188.794677734375,470.054443359375,0.0,0.0,0.0,0.0
4,True,0.9404445886611938,899.9554748535156,1353.7996826171875,187.88446044921875,468.831787109375,True,1,update,0,900.9041770870801,1353.633764936166,188.46959360202953,469.6177716407976,-0.1483088413564468,0.025937599978423265,-0.16255730401524887,-0.2183563276358523
5,True,0.9401675462722778,898.3722839355469,1353.6679077148438,186.37591552734375,468.1473388671875,True,1,update,0,899.8489636543707,1353.6628244371418,187.3700149635133,468.7918808906012,-0.5277693546990837,0.027243843398457934,-0.5670152872111115,-0.4805938437130931
6,True,0.941206693649292,896.6325073242188,1353.3462524414062,184.56005859375,467.5477294921875,True,1,update,0,898.1295926040407,1353.5376922171915,185.6556665568936,467.9207039513724,-0.911487367450442,-0.021824096361527354,-0.953288449423174,-0.612091631809023
7,True,0.9416570663452148,894.645751953125,1353.23046875,182.120849609375,467.523681640625,True,1,update,0,896.0834048969499,1353.3899745411668,183.4526173319014,467.4127309460629,-1.20391337588065,-0.05426839526742003,-1.2924789465993065,-0.5838333848084346
8,True,0.9412349462509155,893.4350280761719,1353.1151733398438,180.78057861328125,468.2362060546875,True,1,update,0,894.2816457972265,1353.244430319202,181.54872403370464,467.45261001464786,-1.3320936793791198,-0.07383826538870283,-1.4311070332230744,-0.4424169071097387
9,True,0.9400430917739868,891.5622253417969,1352.13037109375,179.49920654296875,467.26513671875,True,1,update,0,892.4208417590412,1352.7741637526176,179.86837012181627,467.11294670518225,-1.4292739626076407,-0.14670427595253438,-1.479652561592339,-0.4224037068795446
10,True,0.9436770677566528,890.072021484375,1350.5009765625,178.056640625,464.2626953125,True,1,update,0,890.6699722158801,1351.8837584815656,178.2667110281858,465.7985410401966,-1.4811282181246497,-0.26661905015985354,-1.500504407654314,-0.5748536389175548
